prvdr_id,lgl_name,ccn
118584,Denzel's HHA provider,
120359,Denzel's HHA provider,
118103,Denzel's HHA provider,
1630675,Denzel's HHA provider,
1648572,Denzel's HHA provider,
1546185,Denzel's HHA provider,
1630375,Denzel's HHA provider,
120707,Denzel's HHA provider,
1601329,Denzel's HHA provider,
109840,Denzel's HHA provider,
1485342,Denzel's HHA provider,
120400,Denzel's HHA provider,
98550,Denzel's HHA provider,337459
1655692,Denzel's HHA provider,
122023,Denzel's HHA provider,
1632648,Denzel's HHA provider,
1652284,Denzel's HHA provider,
1594723,Denzel's HHA provider,
1634498,Denzel's HHA provider,
1639846,Denzel's HHA provider,
122092,Denzel's HHA provider,
99480,Denzel's HHA provider,337460
1484729,Denzel's HHA provider,
1603204,Denzel's HHA provider,
1646796,Denzel's HHA provider,
1617073,Denzel's HHA provider,
153417,Denzel's HHA provider,
1614194,Denzel's HHA provider,
118575,Denzel's HHA provider,
121663,Denzel's HHA provider,
121949,Denzel's HHA provider,
124492,Denzel's HHA provider,
1638096,Denzel's HHA provider,
123885,Denzel's HHA provider,
1548653,Denzel's HHA provider,
1624230,Denzel's HHA provider,
120231,Denzel's HHA provider,
1468751,Denzel's HHA provider,
1650480,Denzel's HHA provider,
1562144,Denzel's HHA provider,
1484302,Denzel's HHA provider,
120483,Denzel's HHA provider,
1608978,Denzel's HHA provider,
1592928,Denzel's HHA provider,
1644803,Denzel's HHA provider,
99495,Denzel's HHA provider,337461
1625888,Denzel's HHA provider,
118324,Denzel's HHA provider,
1440873,Denzel's HHA provider,
1508176,Denzel's HHA provider,
121752,Denzel's HHA provider,
1612350,Denzel's HHA provider,
109102,Denzel's HHA provider,
122465,Denzel's HHA provider,
1489972,Denzel's HHA provider,
1599490,Denzel's HHA provider,
126111,Denzel's HHA provider,
109763,Denzel's HHA provider,
101740,Denzel's HHA provider,337462
323292,Dutchess Co Dept Health  Nursing Division,337016
323506,Eddy Seniorcare Lthhcp,337411
323364,Eddy Vna Catskill Hh,337152
323512,"Elant at Goshen, Inc.",337417
1073725,"Empire State Home Care Services, Inc. CHHA",337419
323426,Episcopal General Homecare Inc,337226
323382,Episcopal Rhcf Lthhcp,337175
323320,Erie Co Medical Center Chha,337067
1354869,"EverCare Choice, Inc.",337454
1113291,Excellent Home Care Services LLC,337424
323509,"Extended Nursing Personnel CHHA, LLC",337414
1249147,Extraordinary Home Care,337438
323468,"Finger Lakes Visiting Nurse Service, Inc.",337273
323490,"First To Care Home Care, Inc.",337297
323369,Flushing Hosp Med Ctr Hcd,337160
1333694,"Fort Hudson Certified Home Health Agency, Inc",337445
1179975,"Fort Tryon Rehabilitation and Health Care Facility, LLC",337431
323395,Frances Schervier Home and Hospital LTHHCP,337191
323333,Franklin County Public Health Services CHHA,337086
323323,Fulton Co Nursing Svs Chha,337074
323492,"Gamzel NY, Inc",337299
323345,Genesee County Health Dept,337117
323319,"Genesee Region Home Care Association, Inc.",337066
323424,Gentiva Health Services Binghamton,337224
323489,Gentiva Health Svs Jamestown,337296
323481,Gentiva Health Svs Malta,337288
323435,Gentiva Health Svs White Plains,337235
323404,"Good Samaritan Hospital, Inc.",337200
323338,"Good Samaritan Hospital of Suffern, Inc.",337107
323376,Gouverneur Hospital Chha,337169
323309,Greene County Public Health Nursing Service CHHA,337050
1523690,Greenway Home Health Services Inc,
1337213,Guthrie Home Care,337449
323380,Hamilton Co Public Health Chha,337173
323488,"Hamilton Park Multicare, LLC",337295
323350,Harlem Hospital Ctr Chha,337131
323441,"HCS Certified Home Care NY, Inc.",337243
323430,"Health Quest Home Care, Inc. (Certified)",337230
323388,Health Services At Home Chha,337183
323453,"Health Services of Northern New York, Inc",337256
323406,"Hebrew Hospital Home of Westchester, Inc.",337202
